Item,Count
watch,8994
money,7753
handkerchief,6584
goods,5159
coat,3677
purse,2570
boots,2224
hat,1952
key,1897
shoes,1794
guineas,1364
horse,1337
lead,1212
silver watch,1142
gown,1083
basket,1010
handkerchiefs,972
cloth,948
articles,939
shillings,896
sheets,847
note,837
coats,823
shawl,803
silk,802
sovereigns,801
stockings,786
sack,784
pocket book,768
spoons,746
letter,734
clothes,723
books,717
shirt,712
shirts,702
stock,691
paper,688
sovereign,686
book,676
lodging,660
guinea,660
letters,621
ring,620
mare,611
glass,607
jacket,586
cloak,582
watches,561
trowsers,556
tea,549
candle,535
silk handkerchief,532
notes,531
pot,517
copper,507
trunk,495
pounds weight,491
cheese,488
silver tankard,485
cloth coat,482
spoon,480
bacon,469
sheet,461
keys,459
waistcoat,458
linen,457
plate,439
sacks,433
sheep,431
tools,418
shilling,416
stairs,416
bill,406
bottles,405
knife,401
linen handkerchief,396
silver,393
prisoner,390
half crown,382
rings,379
cigars,378
ribbon,373
lace,370
bottle,368
gold watch,367
great coat,357
meat,356
pots,355
case,355
half crowns,349
gelding,347
sugar,346
silver spoon,344
home,341
bread,340
breeches,338
bed,334
lodgings,333
silver spoons,332
beef,332
